Date,Close,Risk Free Rate
1885-04-01,1.0,2.4825
1885-04-02,1.0021693285714286,2.4819999999999998
1885-04-04,1.0016267827303493,2.4815
1885-04-06,1.0008750904478183,2.481
1885-04-07,0.9882201544881363,2.4804999999999997
1885-04-08,0.9920593192011689,2.48
1885-04-09,1.017003885479579,2.4795
1885-04-10,1.006641356846516,2.479
1885-04-11,1.023869045788769,2.4785
1885-04-13,1.0235403106915675,2.4779999999999998
1885-04-14,1.0282316345956002,2.4775
1885-04-15,1.0469450684306332,2.477
1885-04-16,1.037622366592495,2.4764999999999997
1885-04-17,1.031015854630754,2.476
1885-04-18,1.0250337238966112,2.4755
1885-04-20,1.0316173397851323,2.4749999999999996
1885-04-21,1.0294036216104685,2.4745
1885-04-22,1.0326383460221873,2.4739999999999998
1885-04-23,1.0344071817490414,2.4734999999999996
1885-04-24,1.0298849899863618,2.473
1885-04-25,1.0293461835848865,2.4724999999999997
1885-04-27,1.031535117654171,2.472
1885-04-28,1.0341450341277798,2.4715
1885-04-29,1.0359164507037382,2.4709999999999996
1885-04-30,1.0393691898315467,2.4705
1885-05-01,1.0325620788928453,2.4699999999999998
1885-05-02,1.0299558184512856,2.4694999999999996
1885-05-04,1.0046525113043745,2.469
1885-05-05,0.9997302450295963,2.4684999999999997
1885-05-06,1.0103618049110603,2.468
1885-05-07,0.9999729905919036,2.4675
1885-05-08,1.013760946748739,2.4669999999999996
1885-05-09,1.021243849389574,2.4665
1885-05-11,1.0098010454843294,2.4659999999999997
1885-05-12,1.0052963518718823,2.4655
1885-05-13,1.0054184235717525,2.465
1885-05-14,1.0055405100946149,2.4644999999999997
1885-05-15,1.0128165294013376,2.464
1885-05-16,1.0182003871642915,2.4635
1885-05-18,1.0204286459830016,2.463
1885-05-19,1.0207630696053946,2.4625
1885-05-20,1.015624271248739,2.4619999999999997
1885-05-21,1.0216425850107143,2.4615
1885-05-22,1.0295573814708392,2.461
1885-05-23,1.033894112488996,2.4605
1885-05-25,1.020119260599903,2.46
1885-05-26,1.0244559187349038,2.4595
1885-05-27,1.0191030633840912,2.459
1885-05-28,1.0156450719866468,2.4585
1885-05-29,1.0081826488386556,2.458
1885-06-01,1.00355481683091,2.4575
1885-06-02,1.0096750245543484,2.4570192307692307
1885-06-03,1.0162195649763628,2.4565384615384613
1885-06-04,1.0099032813050968,2.4560576923076924
1885-06-05,1.002107765740754,2.455576923076923
1885-06-06,1.0050682211339559,2.4550961538461538
1885-06-08,1.0008554058944856,2.4546153846153844
1885-06-09,1.0042389262755214,2.4541346153846155
1885-06-10,1.0069905696260573,2.453653846153846
1885-06-11,1.0162891493171435,2.453173076923077
1885-06-12,1.0215788617472572,2.4526923076923075
1885-06-13,1.022857192564929,2.4522115384615386
1885-06-15,1.0311086107618415,2.4517307692307693
1885-06-16,1.0277401115015898,2.45125
1885-06-17,1.0279635715658335,2.4507692307692306
1885-06-18,1.0343184717356413,2.4502884615384612
1885-06-19,1.0419449451070932,2.4498076923076924
1885-06-20,1.0506322950512739,2.449326923076923
1885-06-22,1.0373206037645808,2.4488461538461537
1885-06-23,1.0354300128698908,2.4483653846153843
1885-06-24,1.0468729936978358,2.4478846153846154
1885-06-25,1.0407495494064563,2.447403846153846
1885-06-26,1.0337763490112246,2.4469230769230768
1885-06-27,1.0272236837818491,2.4464423076923074
1885-06-29,1.0172786470365633,2.4459615384615385
1885-06-30,1.015169043643443,2.445480769230769
1885-07-01,1.0088314738257111,2.445
1885-07-02,1.0014310176069243,2.4445192307692305
1885-07-03,1.0126860292830218,2.4440384615384616
1885-07-06,1.0129178620490114,2.4435576923076923
1885-07-07,1.0095435577156777,2.443076923076923
1885-07-08,1.0267489345508605,2.4425961538461536
1885-07-09,1.0291062767653796,2.4421153846153847
1885-07-10,1.0293418685951679,2.4416346153846153
1885-07-11,1.0495358355855962,2.441153846153846
1885-07-13,1.064429723661546,2.4406730769230767
1885-07-14,1.069134214123491,2.4401923076923078
1885-07-15,1.0846765694811604,2.4397115384615384
1885-07-16,1.0791869438861186,2.439230769230769
